density,config,pes,adaptive_rho,solve_index,solve_ms,status,mae,admm_iterations,pcg_iterations,r_prim,r_dual
medium,1024x1024_reshape4_pes30,30,0,1,114.27786000001561,1,0.00013420616,245,265,0.00924588367342949,0.0018269694410264492
medium,1024x1024_reshape4_pes30,30,0,2,114.28153999997903,1,0.00013420616,245,265,0.00924588367342949,0.0018269694410264492
medium,1024x1024_reshape4_pes30,30,0,3,114.28407999994761,1,0.00013420616,245,265,0.00924588367342949,0.0018269694410264492
medium,1024x1024_reshape4_pes30,30,0,4,114.27496999999676,1,0.00013420616,245,265,0.00924588367342949,0.0018269694410264492
medium,1024x1024_reshape4_pes30,30,0,5,114.27578999996513,1,0.00013420616,245,265,0.00924588367342949,0.0018269694410264492
medium,1024x1024_reshape4_pes30,30,1,1,195.0599299999567,1,0.0001137622,430,316,0.004714787006378174,0.00030171527760103345
medium,1024x1024_reshape4_pes30,30,1,2,194.9974699999757,1,0.0001137622,430,316,0.004714787006378174,0.00030171527760103345
medium,1024x1024_reshape4_pes30,30,1,3,194.98199999998178,1,0.0001137622,430,316,0.004714787006378174,0.00030171527760103345
medium,1024x1024_reshape4_pes30,30,1,4,194.98043999999481,1,0.0001137622,430,316,0.004714787006378174,0.00030171527760103345
medium,1024x1024_reshape4_pes30,30,1,5,194.9870700000247,1,0.0001137622,430,316,0.004714787006378174,0.00030171527760103345
medium,1024x1024_reshape4_pes40,40,0,1,115.72182999998404,1,0.00013417966,245,265,0.00923663005232811,0.0018243191298097372
medium,1024x1024_reshape4_pes40,40,0,2,115.72658000000047,1,0.00013417966,245,265,0.00923663005232811,0.0018243191298097372
medium,1024x1024_reshape4_pes40,40,0,3,115.72284000010313,1,0.00013417966,245,265,0.00923663005232811,0.0018243191298097372
medium,1024x1024_reshape4_pes40,40,0,4,115.71229999992738,1,0.00013417966,245,265,0.00923663005232811,0.0018243191298097372
medium,1024x1024_reshape4_pes40,40,0,5,115.72243000000526,1,0.00013417966,245,265,0.00923663005232811,0.0018243191298097372
medium,1024x1024_reshape4_pes40,40,1,1,197.21557000002576,1,0.00011392588,430,316,0.004717767238616943,0.00030234738369472325
medium,1024x1024_reshape4_pes40,40,1,2,197.26337999998123,1,0.00011392588,430,316,0.004717767238616943,0.00030234738369472325
medium,1024x1024_reshape4_pes40,40,1,3,197.2317600000224,1,0.00011392588,430,316,0.004717767238616943,0.00030234738369472325
medium,1024x1024_reshape4_pes40,40,1,4,197.2257999999556,1,0.00011392588,430,316,0.004717767238616943,0.00030234738369472325
medium,1024x1024_reshape4_pes40,40,1,5,197.2234299998945,1,0.00011392588,430,316,0.004717767238616943,0.00030234738369472325
medium,1024x1024_reshape4_pes50,50,0,1,116.82335000000421,1,0.00013420808,245,265,0.009235378354787827,0.0018281080992892385
medium,1024x1024_reshape4_pes50,50,0,2,116.82153000003836,1,0.00013420808,245,265,0.009235378354787827,0.0018281080992892385
medium,1024x1024_reshape4_pes50,50,0,3,116.82499999994889,1,0.00013420808,245,265,0.009235378354787827,0.0018281080992892385
medium,1024x1024_reshape4_pes50,50,0,4,116.81605000001127,1,0.00013420808,245,265,0.009235378354787827,0.0018281080992892385
medium,1024x1024_reshape4_pes50,50,0,5,116.82000999996944,1,0.00013420808,245,265,0.009235378354787827,0.0018281080992892385
medium,1024x1024_reshape4_pes50,50,1,1,199.0487299999586,1,0.00011370651,430,316,0.004709899425506592,0.00030193233396857977
medium,1024x1024_reshape4_pes50,50,1,2,199.08327000007375,1,0.00011370651,430,316,0.004709899425506592,0.00030193233396857977
medium,1024x1024_reshape4_pes50,50,1,3,199.06625999999505,1,0.00011370651,430,316,0.004709899425506592,0.00030193233396857977
medium,1024x1024_reshape4_pes50,50,1,4,199.0516899999193,1,0.00011370651,430,316,0.004709899425506592,0.00030193233396857977
medium,1024x1024_reshape4_pes50,50,1,5,199.03814000008424,1,0.00011370651,430,316,0.004709899425506592,0.00030193233396857977
medium,1024x1024_reshape4_pes60,60,0,1,118.21695999992698,1,0.00013414984,245,265,0.009233023971319199,0.0018247109837830067
medium,1024x1024_reshape4_pes60,60,0,2,118.2232200000044,1,0.00013414984,245,265,0.009233023971319199,0.0018247109837830067
medium,1024x1024_reshape4_pes60,60,0,3,118.22258999995938,1,0.00013414984,245,265,0.009233023971319199,0.0018247109837830067
medium,1024x1024_reshape4_pes60,60,0,4,118.22459000006802,1,0.00013414984,245,265,0.009233023971319199,0.0018247109837830067
medium,1024x1024_reshape4_pes60,60,0,5,118.21892000000389,1,0.00013414984,245,265,0.009233023971319199,0.0018247109837830067
medium,1024x1024_reshape4_pes60,60,1,1,201.41503000002103,1,0.00011384725,430,316,0.004721283912658691,0.0003023020690307021
medium,1024x1024_reshape4_pes60,60,1,2,201.41459000001305,1,0.00011384725,430,316,0.004721283912658691,0.0003023020690307021
medium,1024x1024_reshape4_pes60,60,1,3,201.40750000007301,1,0.00011384725,430,316,0.004721283912658691,0.0003023020690307021
medium,1024x1024_reshape4_pes60,60,1,4,201.39414000004763,1,0.00011384725,430,316,0.004721283912658691,0.0003023020690307021
medium,1024x1024_reshape4_pes60,60,1,5,201.3840900000332,1,0.00011384725,430,316,0.004721283912658691,0.0003023020690307021
high,1024x1024_reshape4_pes4,4,0,1,1387.146400000006,1,0.00029760966,330,439,0.004960536956787109,0.0019088368862867355
high,1024x1024_reshape4_pes4,4,0,2,1387.1476499999744,1,0.00029760966,330,439,0.004960536956787109,0.0019088368862867355
high,1024x1024_reshape4_pes4,4,0,3,1387.1456499999795,1,0.00029760966,330,439,0.004960536956787109,0.0019088368862867355
high,1024x1024_reshape4_pes4,4,0,4,1387.148859999911,1,0.00029760966,330,439,0.004960536956787109,0.0019088368862867355
high,1024x1024_reshape4_pes4,4,0,5,1387.1485299999904,1,0.00029760966,330,439,0.004960536956787109,0.0019088368862867355
high,1024x1024_reshape4_pes4,4,1,1,1177.3960299999544,1,0.00022935875,310,264,0.012351036071777344,0.00028392684180289507
high,1024x1024_reshape4_pes4,4,1,2,1177.3853400000007,1,0.00022935875,310,264,0.012351036071777344,0.00028392684180289507
high,1024x1024_reshape4_pes4,4,1,3,1177.3893399999906,1,0.00022935875,310,264,0.012351036071777344,0.00028392684180289507
high,1024x1024_reshape4_pes4,4,1,4,1177.3869799999375,1,0.00022935875,310,264,0.012351036071777344,0.00028392684180289507
high,1024x1024_reshape4_pes4,4,1,5,1177.3941600000626,1,0.00022935875,310,264,0.012351036071777344,0.00028392684180289507
high,1024x1024_reshape4_pes8,8,0,1,880.5357500000355,1,0.0002812477,330,440,0.005046844482421875,0.0016338230343535542
high,1024x1024_reshape4_pes8,8,0,2,880.54403000001,1,0.0002812477,330,440,0.005046844482421875,0.0016338230343535542
high,1024x1024_reshape4_pes8,8,0,3,880.5426799999623,1,0.0002812477,330,440,0.005046844482421875,0.0016338230343535542
high,1024x1024_reshape4_pes8,8,0,4,880.5423600000495,1,0.0002812477,330,440,0.005046844482421875,0.0016338230343535542
high,1024x1024_reshape4_pes8,8,0,5,880.5472699999655,1,0.0002812477,330,440,0.005046844482421875,0.0016338230343535542
high,1024x1024_reshape4_pes8,8,1,1,753.6152899999706,1,0.0002292538,310,264,0.012349128723144531,0.0002847443684004247
high,1024x1024_reshape4_pes8,8,1,2,753.6314000000175,1,0.0002292538,310,264,0.012349128723144531,0.0002847443684004247
high,1024x1024_reshape4_pes8,8,1,3,753.6254299999428,1,0.0002292538,310,264,0.012349128723144531,0.0002847443684004247
high,1024x1024_reshape4_pes8,8,1,4,753.6135699999704,1,0.0002292538,310,264,0.012349128723144531,0.0002847443684004247
high,1024x1024_reshape4_pes8,8,1,5,753.6271100000249,1,0.0002292538,310,264,0.012349128723144531,0.0002847443684004247
high,1024x1024_reshape4_pes16,16,0,1,316.6387299999087,1,0.00028111011,330,440,0.005051612854003906,0.0016590977320447564
high,1024x1024_reshape4_pes16,16,0,2,316.63127000001623,1,0.00028111011,330,440,0.005051612854003906,0.0016590977320447564
high,1024x1024_reshape4_pes16,16,0,3,316.62805000007666,1,0.00028111011,330,440,0.005051612854003906,0.0016590977320447564
high,1024x1024_reshape4_pes16,16,0,4,316.622109999912,1,0.00028111011,330,440,0.005051612854003906,0.0016590977320447564
high,1024x1024_reshape4_pes16,16,0,5,316.6271800000686,1,0.00028111011,330,440,0.005051612854003906,0.0016590977320447564
high,1024x1024_reshape4_pes16,16,1,1,282.6506200000267,1,0.0002296357,310,264,0.012371063232421875,0.000285490183159709
high,1024x1024_reshape4_pes16,16,1,2,282.6596500000278,1,0.0002296357,310,264,0.012371063232421875,0.000285490183159709
high,1024x1024_reshape4_pes16,16,1,3,282.63759000003574,1,0.0002296357,310,264,0.012371063232421875,0.000285490183159709
high,1024x1024_reshape4_pes16,16,1,4,282.6358199999959,1,0.0002296357,310,264,0.012371063232421875,0.000285490183159709
high,1024x1024_reshape4_pes16,16,1,5,282.6433800000814,1,0.0002296357,310,264,0.012371063232421875,0.000285490183159709
high,1024x1024_reshape4_pes20,20,0,1,279.6317300000055,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,20,0,2,279.6283200000289,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,20,0,3,279.6223599999621,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,20,0,4,279.633849999982,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,20,0,5,279.6195700000226,1,0.0002812277,330,440,0.005021572113037109,0.0016525562386959791
high,1024x1024_reshape4_pes20,20,1,1,251.7296900000474,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,20,1,2,251.72451000003093,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,20,1,3,251.7337699999871,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,20,1,4,251.7331200000399,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes20,20,1,5,251.72759999998107,1,0.00022961713,310,264,0.012368202209472656,0.0002847656433004886
high,1024x1024_reshape4_pes30,30,0,1,253.8544000000229,1,0.0002974989,330,439,0.004963397979736328,0.0018814910436049104
high,1024x1024_reshape4_pes30,30,0,2,253.85435999999117,1,0.0002974989,330,439,0.004963397979736328,0.0018814910436049104
high,1024x1024_reshape4_pes30,30,0,3,253.84922000000643,1,0.0002974989,330,439,0.004963397979736328,0.0018814910436049104
high,1024x1024_reshape4_pes30,30,0,4,253.83372999999665,1,0.0002974989,330,439,0.004963397979736328,0.0018814910436049104
high,1024x1024_reshape4_pes30,30,0,5,253.84129000008215,1,0.0002974989,330,439,0.004963397979736328,0.0018814910436049104
high,1024x1024_reshape4_pes30,30,1,1,230.414650000057,1,0.0002289178,310,264,0.012319564819335938,0.0002817853819578886
high,1024x1024_reshape4_pes30,30,1,2,230.41538999996192,1,0.0002289178,310,264,0.012319564819335938,0.0002817853819578886
high,1024x1024_reshape4_pes30,30,1,3,230.40834999994786,1,0.0002289178,310,264,0.012319564819335938,0.0002817853819578886
high,1024x1024_reshape4_pes30,30,1,4,230.4053399999475,1,0.0002289178,310,264,0.012319564819335938,0.0002817853819578886
high,1024x1024_reshape4_pes30,30,1,5,230.419270000084,1,0.0002289178,310,264,0.012319564819335938,0.0002817853819578886
high,1024x1024_reshape4_pes40,40,0,1,255.75509999998758,1,0.00027875026,330,439,0.005065441131591797,0.001490732654929161
high,1024x1024_reshape4_pes40,40,0,2,255.7564700000512,1,0.00027875026,330,439,0.005065441131591797,0.001490732654929161
high,1024x1024_reshape4_pes40,40,0,3,255.75042000002668,1,0.00027875026,330,439,0.005065441131591797,0.001490732654929161
high,1024x1024_reshape4_pes40,40,0,4,255.7530599999609,1,0.00027875026,330,439,0.005065441131591797,0.001490732654929161
high,1024x1024_reshape4_pes40,40,0,5,255.74442999993607,1,0.00027875026,330,439,0.005065441131591797,0.001490732654929161
high,1024x1024_reshape4_pes40,40,1,1,231.86695000003965,1,0.00022945828,310,264,0.012354850769042969,0.00028497716994024813
high,1024x1024_reshape4_pes40,40,1,2,231.87722000000122,1,0.00022945828,310,264,0.012354850769042969,0.00028497716994024813
high,1024x1024_reshape4_pes40,40,1,3,231.87116000008245,1,0.00022945828,310,264,0.012354850769042969,0.00028497716994024813
high,1024x1024_reshape4_pes40,40,1,4,231.8699900000638,1,0.00022945828,310,264,0.012354850769042969,0.00028497716994024813
high,1024x1024_reshape4_pes40,40,1,5,231.86540999995486,1,0.00022945828,310,264,0.012354850769042969,0.00028497716994024813
high,1024x1024_reshape4_pes50,50,0,1,257.75175000001127,1,0.000297582,330,439,0.0049860477447509766,0.0019020398613065481
high,1024x1024_reshape4_pes50,50,0,2,257.749600000011,1,0.000297582,330,439,0.0049860477447509766,0.0019020398613065481
high,1024x1024_reshape4_pes50,50,0,3,257.742119999989,1,0.000297582,330,439,0.0049860477447509766,0.0019020398613065481
high,1024x1024_reshape4_pes50,50,0,4,257.74100000001,1,0.000297582,330,439,0.0049860477447509766,0.0019020398613065481
high,1024x1024_reshape4_pes50,50,0,5,257.7395999999226,1,0.000297582,330,439,0.0049860477447509766,0.0019020398613065481
high,1024x1024_reshape4_pes50,50,1,1,233.53128999997352,1,0.00023000274,310,264,0.012392997741699219,0.00028682564152404666
high,1024x1024_reshape4_pes50,50,1,2,233.52803000000222,1,0.00023000274,310,264,0.012392997741699219,0.00028682564152404666
high,1024x1024_reshape4_pes50,50,1,3,233.51626999999553,1,0.00023000274,310,264,0.012392997741699219,0.00028682564152404666
high,1024x1024_reshape4_pes50,50,1,4,233.5185500000989,1,0.00023000274,310,264,0.012392997741699219,0.00028682564152404666
high,1024x1024_reshape4_pes50,50,1,5,233.5108400000081,1,0.00023000274,310,264,0.012392997741699219,0.00028682564152404666
high,1024x1024_reshape4_pes60,60,0,1,259.69600999997056,1,0.00027888292,330,439,0.005106449127197266,0.0014860252849757671
high,1024x1024_reshape4_pes60,60,0,2,259.6886200000199,1,0.00027888292,330,439,0.005106449127197266,0.0014860252849757671
high,1024x1024_reshape4_pes60,60,0,3,259.68430000000353,1,0.00027888292,330,439,0.005106449127197266,0.0014860252849757671
high,1024x1024_reshape4_pes60,60,0,4,259.68801000010444,1,0.00027888292,330,439,0.005106449127197266,0.0014860252849757671
high,1024x1024_reshape4_pes60,60,0,5,259.68557999999575,1,0.00027888292,330,439,0.005106449127197266,0.0014860252849757671
high,1024x1024_reshape4_pes60,60,1,1,235.1267800000869,1,0.00022896126,310,264,0.012334823608398438,0.00028397596906870604
high,1024x1024_reshape4_pes60,60,1,2,235.14111999998022,1,0.00022896126,310,264,0.012334823608398438,0.00028397596906870604
high,1024x1024_reshape4_pes60,60,1,3,235.12221999999383,1,0.00022896126,310,264,0.012334823608398438,0.00028397596906870604
high,1024x1024_reshape4_pes60,60,1,4,235.1226000000679,1,0.00022896126,310,264,0.012334823608398438,0.00028397596906870604
high,1024x1024_reshape4_pes60,60,1,5,235.12697000001026,1,0.00022896126,310,264,0.012334823608398438,0.00028397596906870604
